machine_id,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,temp_diff_k,mechanical_power_w,type_H,type_L,type_M,machine_failure
1,298.1,308.6,1551,42.8,0,10.5,6951.5905601573495,False,False,True,0
2,298.2,308.7,1408,46.3,3,10.5,6826.722724152667,False,True,False,0
3,298.1,308.5,1498,49.4,5,10.399999999999977,7749.387542560966,False,True,False,0
4,298.2,308.6,1433,39.5,7,10.400000000000034,5927.504658915662,False,True,False,0
5,298.2,308.7,1408,40.0,9,10.5,5897.816608339238,False,True,False,0
6,298.1,308.6,1425,41.9,11,10.5,6252.554778807085,False,False,True,0
7,298.1,308.6,1558,42.4,14,10.5,6917.703247400628,False,True,False,0
8,298.1,308.6,1527,40.2,16,10.5,6428.264055922363,False,True,False,0
9,298.3,308.7,1667,28.6,18,10.399999999999977,4992.6399890359235,False,False,True,0
10,298.5,309.0,1741,28.0,21,10.5,5104.878622573175,False,False,True,0
11,298.4,308.9,1782,23.9,24,10.5,4459.993426595285,True,False,False,0
12,298.6,309.1,1423,44.3,29,10.5,6601.4181710127195,True,False,False,0
13,298.6,309.1,1339,51.1,34,10.5,7165.229332576969,False,False,True,0
14,298.6,309.2,1742,30.0,37,10.599999999999966,5472.6544025534195,False,False,True,0
15,298.6,309.2,2035,19.6,40,10.599999999999966,4176.85215270275,False,True,False,0
16,298.6,309.2,1542,48.4,42,10.599999999999966,7815.528539894543,False,True,False,0
17,298.6,309.2,1311,46.6,44,10.599999999999966,6397.602111623326,False,False,True,0
18,298.7,309.2,1410,45.6,47,10.5,6733.061375173645,False,False,True,0
19,298.8,309.2,1306,54.5,50,10.399999999999977,7453.6380101520235,True,False,False,0
20,298.9,309.3,1632,32.5,55,10.400000000000034,5554.335811546754,False,False,True,0
21,298.9,309.3,1375,42.7,58,10.400000000000034,6148.358622463024,True,False,False,0
22,298.8,309.3,1450,44.8,63,10.5,6802.595292573098,False,True,False,0
23,298.9,309.3,1581,30.7,65,10.400000000000034,5082.75133831639,False,False,True,0
24,299.0,309.4,1758,25.7,68,10.399999999999977,4731.3013681593,False,True,False,0
25,299.0,309.4,1561,37.3,70,10.399999999999977,6097.339157768725,False,False,True,0
26,299.0,309.5,1861,23.3,73,10.5,4540.784717670103,False,True,False,0
27,299.1,309.5,1512,39.0,75,10.399999999999977,6175.114519896097,False,True,False,0
28,299.1,309.4,1811,24.6,77,10.299999999999955,4665.327922433915,True,False,False,0
29,299.1,309.4,1439,44.2,82,10.299999999999955,6660.574360679816,False,True,False,0
30,299.0,309.4,1693,30.1,84,10.399999999999977,5336.445417069278,False,True,False,0
31,299.1,309.5,1339,48.2,86,10.399999999999977,6758.592051471817,False,False,True,0
32,299.0,309.4,1798,25.5,89,10.399999999999977,4801.296052481281,False,True,False,0
33,299.0,309.4,1419,48.3,91,10.399999999999977,7177.251160464705,False,True,False,0
34,298.9,309.3,1665,32.5,93,10.400000000000034,5666.647748912589,False,True,False,0
35,298.8,309.1,1559,34.7,95,10.300000000000011,5665.0560086347705,False,False,True,0
36,298.8,309.2,1452,48.6,98,10.399999999999977,7389.779903480055,False,False,True,0
37,298.9,309.2,1581,36.7,101,10.300000000000011,6076.122935381483,False,False,True,0
38,298.8,309.1,1439,39.2,104,10.300000000000011,5907.115722593864,False,True,False,0
39,298.9,309.2,1379,50.7,106,10.300000000000011,7321.513095117549,True,False,False,0
40,298.8,309.1,1350,52.5,111,10.300000000000011,7422.012644105886,False,True,False,0
41,298.8,309.1,1362,45.4,113,10.300000000000011,6475.3251138731375,False,True,False,0
42,298.8,309.1,1368,50.8,115,10.300000000000011,7277.436550187683,False,True,False,0
43,298.8,309.1,1368,49.1,117,10.300000000000011,7033.900287681403,False,False,True,0
44,298.8,309.2,1372,48.5,120,10.399999999999977,6968.2619451724,True,False,False,0
45,298.8,309.1,1472,47.5,125,10.300000000000011,7322.005277966611,False,False,True,0
46,298.8,309.1,1489,49.1,128,10.300000000000011,7656.050824822814,False,True,False,0
47,298.7,309.0,1843,25.8,130,10.300000000000011,4979.36152408675,False,False,True,0
48,298.8,309.1,1418,46.3,133,10.300000000000011,6875.20797077307,False,True,False,0
49,298.8,309.2,1425,53.9,135,10.399999999999977,8043.262591353267,True,False,False,0
50,298.9,309.2,1412,44.1,140,10.300000000000011,6520.815375497118,False,False,True,0
51,298.9,309.1,2861,4.6,143,10.200000000000045,1378.1748092277942,False,True,False,1
52,298.9,309.1,1383,54.9,145,10.200000000000045,7951.02543104387,False,True,False,0
53,298.8,309.0,1497,43.8,147,10.199999999999989,6866.327735538923,True,False,False,0
54,298.7,309.0,1565,35.1,152,10.300000000000011,5752.41322835559,False,True,False,0
55,298.7,309.0,1691,30.1,154,10.300000000000011,5330.141287811075,False,True,False,0
56,298.8,309.1,1512,40.7,156,10.300000000000011,6444.286178455671,False,True,False,0
57,298.8,309.1,1477,42.4,158,10.300000000000011,6558.053720417668,False,True,False,0
58,298.8,309.1,1513,40.3,160,10.300000000000011,6385.171876690622,False,True,False,0
59,298.8,309.0,1661,29.5,162,10.199999999999989,5131.215640985769,False,False,True,0
